bun test v1.3.14 (0d9b296a)

test/e2e/fleet.e2e.ts.test.ts:
timestamp=2026-06-15T01:11:20.575Z level=INFO fiber=#5 message="Gateway run started" gateway:run=0ms runId=run-atlas transport=ws triggeredBy=fleet-control role=operator workflow=panopticon-fleet-control service=smithers source=user userId=fleet-control resume=false connectionId=fleet-control:connection
timestamp=2026-06-15T01:11:23.442Z level=INFO fiber=#1024 message="getNodeOutput completed" runId=run-atlas durationMs=1.5317500000001019 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:23.468Z level=INFO fiber=#1030 message="getNodeOutput completed" runId=run-atlas durationMs=1.4383749999997235 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:23.496Z level=INFO fiber=#1036 message="getNodeOutput completed" runId=run-atlas durationMs=1.5176669999996193 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:23.520Z level=INFO fiber=#1042 message="getNodeOutput completed" runId=run-atlas durationMs=1.224833000000217 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:23.547Z level=INFO fiber=#1048 message="getNodeOutput completed" runId=run-atlas durationMs=1.849666999999954 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:23.576Z level=INFO fiber=#1054 message="getNodeOutput completed" runId=run-atlas durationMs=0.9986669999998412 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:23.600Z level=INFO fiber=#1060 message="getNodeOutput completed" runId=run-atlas durationMs=0.9960000000000946 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:23.626Z level=INFO fiber=#1066 message="getNodeOutput completed" runId=run-atlas durationMs=1.1472080000003189 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:23.654Z level=INFO fiber=#1072 message="getNodeOutput completed" runId=run-atlas durationMs=1.6217090000000098 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:23.677Z level=INFO fiber=#1080 message="getNodeOutput completed" runId=run-atlas durationMs=1.1574580000001333 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
